Class,Height,Weight,Gender
Obese,161,89,Male
Normal,179,79,Female
Weak,172,52,Male
Obese,153,104,Male
Normal,165,68,Male
Obese,172,92,Male
Obese,182,108,Male
Overweight,194,108,Female
Obese,179,130,Male
Obese,142,71,Male
Obese,158,153,Female
Obese,178,107,Female
Normal,155,57,Male
Overweight,151,64,Female
Normal,181,80,Female
Obese,147,126,Female
Obese,142,159,Female
Obese,165,155,Male
Obese,146,104,Female
Normal,157,56,Male
Normal,173,82,Female
Obese,170,102,Female
Obese,190,118,Female
Obese,168,140,Female
Normal,153,78,Female
Obese,188,123,Male
Normal,162,64,Female
Obese,182,104,Male
Obese,194,115,Male
Overweight,185,102,Female
Weak,178,52,Male
Normal,192,90,Female
Obese,147,142,Male
Obese,152,103,Male
Normal,169,54,Female
Obese,178,127,Male
Obese,165,105,Male
Normal,172,67,Female
Obese,140,129,Male
Obese,141,86,Male
Obese,172,96,Female
Overweight,191,96,Male
Obese,147,107,Female
Obese,197,119,Male
Obese,162,159,Female
Obese,173,139,Male
Obese,185,139,Male
Obese,152,90,Female
Obese,163,131,Male
Obese,188,141,Male
Overweight,189,104,Male
Normal,165,57,Female
Normal,185,76,Male
Obese,157,110,Female
Weak,179,56,Male
Obese,186,143,Female
Overweight,195,104,Female
Obese,141,126,Female
Obese,148,141,Male
Obese,150,70,Female
Obese,170,95,Male
Obese,153,77,Female
Obese,179,152,Male
Obese,184,157,Male
Obese,154,112,Male
Overweight,190,95,Male
Obese,154,111,Male
Obese,181,106,Female
Obese,144,80,Male
Obese,168,160,Male
Obese,179,150,Female
Obese,144,108,Male
Obese,177,96,Female
Obese,185,119,Female
Normal,163,63,Female
Obese,177,117,Male
Obese,140,79,Male
Obese,147,67,Female
Normal,167,58,Female
Obese,145,108,Male
Obese,193,130,Male
Overweight,187,94,Female
Normal,183,79,Female
Obese,167,85,Female
Obese,141,80,Male
Normal,168,59,Female
Obese,150,84,Female
Overweight,151,67,Female
Weak,170,53,Female
Obese,150,144,Female
Overweight,195,104,Female
Obese,187,121,Female
Overweight,149,66,Male
Overweight,188,90,Female
Obese,197,125,Male
Overweight,194,111,Female
Overweight,150,60,Female
Obese,186,127,Female
Obese,145,142,Male
Obese,186,118,Male
Obese,151,114,Male
Normal,181,78,Male
Obese,182,143,Female
Obese,193,151,Male
Obese,171,120,Female
Overweight,185,100,Female
Normal,151,55,Female
Weak,180,58,Female
Overweight,153,70,Male
Obese,176,156,Female
Obese,171,147,Male
Obese,151,82,Male
Normal,162,58,Female
Obese,163,137,Male
Obese,155,144,Female
Obese,184,153,Male
Obese,145,78,Male
Obese,177,117,Male
Overweight,178,83,Male
Overweight,197,114,Female
Obese,157,74,Male
Obese,159,124,Male
Obese,184,152,Female
Obese,166,153,Female
Obese,150,74,Male
Obese,143,88,Male
Obese,146,157,Female
Obese,185,140,Female
Obese,153,133,Female
Obese,147,92,Male
Weak,193,61,Female
Normal,191,68,Female
Obese,189,125,Female
Overweight,187,102,Female
Overweight,181,94,Female
Overweight,183,87,Female
Overweight,192,108,Female
Obese,159,145,Male
Normal,195,81,Male
Obese,159,120,Male
Obese,198,145,Female
Obese,166,140,Female
Obese,171,152,Female
Normal,180,60,Female
Obese,156,106,Female
Overweight,198,109,Male
Normal,169,88,Female
Overweight,167,79,Female
Obese,166,144,Female
Obese,140,76,Female
Obese,152,114,Female
Overweight,194,106,Male
Normal,183,76,Female
Obese,140,146,Female
Obese,176,121,Female
Obese,178,160,Male
Obese,184,160,Female
Obese,142,131,Male
Obese,142,69,Male
Normal,180,73,Male
Overweight,182,98,Male
Overweight,187,92,Female
Normal,197,88,Male
Overweight,164,71,Female
Normal,188,81,Male
Normal,154,54,Male
Weak,195,61,Female
Overweight,183,105,Male
Overweight,174,90,Male
Overweight,187,96,Male
Overweight,155,71,Female
Overweight,188,100,Male
Normal,187,80,Male
Overweight,177,81,Female
Overweight,184,86,Female
Overweight,148,60,Male
Normal,157,60,Female
Normal,182,70,Male
Overweight,151,62,Male
Normal,148,54,Female
Weak,191,62,Male
Overweight,192,101,Female
Overweight,149,61,Female
Weak,176,54,Female
Overweight,178,85,Male
Overweight,149,61,Male
Overweight,166,70,Male
Weak,195,69,Male
Overweight,162,68,Female
Weak,195,65,Female
Weak,184,57,Male
Weak,187,62,Male
Weak,174,54,Male
Normal,156,52,Female
Overweight,192,101,Male
Weak,180,59,Female
Overweight,174,90,Male
Normal,199,92,Female
Normal,191,79,Male
Overweight,182,84,Female
Overweight,176,87,Male
Weak,188,57,Male
Normal,165,62,Male
Normal,178,79,Female
Normal,175,83,Female
Normal,184,83,Male
Weak,168,50,Male
Overweight,179,93,Male
Normal,184,76,Female
Normal,150,50,Female
Normal,189,87,Male
Normal,182,73,Male
Normal,177,61,Female
Overweight,164,75,Male
Normal,157,52,Female
Overweight,185,94,Female
Overweight,183,96,Female
Normal,166,61,Male
Normal,155,51,Male
Overweight,164,71,Female
Overweight,182,84,Female
Normal,188,80,Female
Overweight,164,70,Female
Overweight,161,72,Male
Overweight,170,81,Male
Normal,179,67,Female
Normal,199,99,Male
Normal,197,72,Female
Overweight,179,83,Male
Weak,196,69,Male
Overweight,168,115,Female
Overweight,140,52,Male
Weak,185,60,Male
Overweight,188,99,Female
Weak,175,55,Female
